"QuestionID","QuestionText","IntendedDomain","ComparedDomain","DomainDefinition","SimilarityScore","Theta","ComparedDomainLabel"
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Emotional","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.706563611300291,45.0439953371115,"Emotional - Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Intrusive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.799202452024775,36.9459905186214,"Intrusive - Measures how much the tinnitus intrudes on consciousness and daily life."
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Quality of Life","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.767254085844408,39.8920555460239,"Quality of Life - Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Relaxation","Examines the impact of tinnitus on relaxation and quiet activities.",0.755870760065169,40.8984868660484,"Relaxation - Examines the impact of tinnitus on relaxation and quiet activities."
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Sense of Control","Determines how much control the patient feels they have over their tinnitus.",0.769671319807605,39.6756171716232,"Sense of Control - Determines how much control the patient feels they have over their tinnitus."
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Sleep","Assesses the extent to which tinnitus interferes with sleep.",0.770293239564015,39.6197711845778,"Sleep - Assesses the extent to which tinnitus interferes with sleep."
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Auditory","Evaluates problems hearing clearly due to tinnitus.",0.706145860252569,45.0778091421023,"Auditory - Evaluates problems hearing clearly due to tinnitus."
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Cognitive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.773460483222094,39.3343375779476,"Cognitive - Captures difficulties in concentration and cognitive tasks due to tinnitus."
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Emotional","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.720441890268262,43.909024224687,"Emotional - Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Intrusive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.791340690350388,37.6890218169598,"Intrusive - Measures how much the tinnitus intrudes on consciousness and daily life."
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Quality of Life","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.767516019141922,39.8686494511684,"Quality of Life - Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Relaxation","Examines the impact of tinnitus on relaxation and quiet activities.",0.761877373479747,40.3700163149283,"Relaxation - Examines the impact of tinnitus on relaxation and quiet activities."
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Sense of Control","Determines how much control the patient feels they have over their tinnitus.",0.791497121264629,37.6743592781134,"Sense of Control - Determines how much control the patient feels they have over their tinnitus."
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Sleep","Assesses the extent to which tinnitus interferes with sleep.",0.768284894790895,39.7998772649073,"Sleep - Assesses the extent to which tinnitus interferes with sleep."
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Auditory","Evaluates problems hearing clearly due to tinnitus.",0.681024081959441,47.0762796579588,"Auditory - Evaluates problems hearing clearly due to tinnitus."
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Cognitive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.747963750893149,41.5857017609975,"Cognitive - Captures difficulties in concentration and cognitive tasks due to tinnitus."
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Emotional","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.681312778673764,47.0536864337568,"Emotional - Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Intrusive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.784698468979354,38.3072010747356,"Intrusive - Measures how much the tinnitus intrudes on consciousness and daily life."
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Quality of Life","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.728241332626828,43.2608393246197,"Quality of Life - Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Relaxation","Examines the impact of tinnitus on relaxation and quiet activities.",0.735223312303802,42.6739109290201,"Relaxation - Examines the impact of tinnitus on relaxation and quiet activities."
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Sense of Control","Determines how much control the patient feels they have over their tinnitus.",0.749520156069284,41.4511705887491,"Sense of Control - Determines how much control the patient feels they have over their tinnitus."
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Sleep","Assesses the extent to which tinnitus interferes with sleep.",0.732624827452875,42.8931036772797,"Sleep - Assesses the extent to which tinnitus interferes with sleep."
6,"How easy was it for you to ignore your tinnitus?","Sense of Control","Auditory","Evaluates problems hearing clearly due to tinnitus.",0.649565758957944,49.4911300431561,"Auditory - Evaluates problems hearing clearly due to tinnitus."
6,"How easy was it for you to ignore your tinnitus?","Sense of Control","Cognitive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.725506904124014,43.4889673741508,"Cognitive - Captures difficulties in concentration and cognitive tasks due to tinnitus."
6,"How easy was it for you to ignore your tinnitus?","Sense of Control","Emotional","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.651713533381465,49.3290801246864,"Emotional - Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
6,"How easy was it for you to ignore your tinnitus?","Sense of Control","Intrusive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.77356893418849,39.3245332311886,"Intrusive - Measures how much the tinnitus intrudes on consciousness and daily life."
6,"How easy was it for you to ignore your tinnitus?","Sense of Control","Quality of Life","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.717539936698016,44.1482552206276,"Quality of Life - Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
6,"How easy was it for you to ignore your tinnitus?","Sense of Control","Relaxation","Examines the impact of tinnitus on relaxation and quiet activities.",0.721289807689189,43.8389277284199,"Relaxation - Examines the impact of tinnitus on relaxation and quiet activities."
6,"How easy was it for you to ignore your tinnitus?","Sense of Control","Sense of Control","Determines how much control the patient feels they have over their tinnitus.",0.723321415154552,43.6706121013645,"Sense of Control - Determines how much control the patient feels they have over their tinnitus."
6,"How easy was it for you to ignore your tinnitus?","Sense of Control","Sleep","Assesses the extent to which tinnitus interferes with sleep.",0.721601734737316,43.8131185528278,"Sleep - Assesses the extent to which tinnitus interferes with sleep."
7,"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","Auditory","Evaluates problems hearing clearly due to tinnitus.",0.737284192242531,42.4994185979695,"Auditory - Evaluates problems hearing clearly due to tinnitus."
7,"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","Cognitive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.812890936892304,35.6206468642522,"Cognitive - Captures difficulties in concentration and cognitive tasks due to tinnitus."
7,"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","Emotional","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.710452074589747,44.7282907290634,"Emotional - Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
7,"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","Intrusive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.842248542837536,32.6216725387366,"Intrusive - Measures how much the tinnitus intrudes on consciousness and daily life."
7,"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","Quality of Life","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.788199085499366,37.9824696907553,"Quality of Life - Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
7,"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","Relaxation","Examines the impact of tinnitus on relaxation and quiet activities.",0.786442691123983,38.145692876874,"Relaxation - Examines the impact of tinnitus on relaxation and quiet activities."
7,"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","Sense of Control","Determines how much control the patient feels they have over their tinnitus.",0.800796398548664,36.7937797485622,"Sense of Control - Determines how much control the patient feels they have over their tinnitus."
7,"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","Sleep","Assesses the extent to which tinnitus interferes with sleep.",0.815987343861797,35.3148944894311,"Sleep - Assesses the extent to which tinnitus interferes with sleep."
8,"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","Auditory","Evaluates problems hearing clearly due to tinnitus.",0.752644624279087,41.1800143380471,"Auditory - Evaluates problems hearing clearly due to tinnitus."
8,"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","Cognitive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.80706744276788,36.1896057660618,"Cognitive - Captures difficulties in concentration and cognitive tasks due to tinnitus."
8,"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","Emotional","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.700125289152424,45.5629431685903,"Emotional - Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
8,"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","Intrusive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.831501423814105,33.7467191484571,"Intrusive - Measures how much the tinnitus intrudes on consciousness and daily life."
8,"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","Quality of Life","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.776312420277862,39.0758268957136,"Quality of Life - Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
8,"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","Relaxation","Examines the impact of tinnitus on relaxation and quiet activities.",0.765601208289952,40.0394921441284,"Relaxation - Examines the impact of tinnitus on relaxation and quiet activities."
8,"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","Sense of Control","Determines how much control the patient feels they have over their tinnitus.",0.795819644142983,37.2672582209587,"Sense of Control - Determines how much control the patient feels they have over their tinnitus."
8,"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","Sleep","Assesses the extent to which tinnitus interferes with sleep.",0.803744401820187,36.510831110834,"Sleep - Assesses the extent to which tinnitus interferes with sleep."
9,"How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive","Auditory","Evaluates problems hearing clearly due to tinnitus.",0.72191627792696,43.7870806384062,"Auditory - Evaluates problems hearing clearly due to tinnitus."
9,"How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive","Cognitive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.804466967899842,36.441191157413,"Cognitive - Captures difficulties in concentration and cognitive tasks due to tinnitus."
9,"How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive","Emotional","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.717008748900986,44.191933780822,"Emotional - Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
9,"How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive","Intrusive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.839690462522424,32.8925523500216,"Intrusive - Measures how much the tinnitus intrudes on consciousness and daily life."
9,"How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive","Quality of Life","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.796152144873507,37.2357855420111,"Quality of Life - Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
9,"How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive","Relaxation","Examines the impact of tinnitus on relaxation and quiet activities.",0.785784893800672,38.2066702768176,"Relaxation - Examines the impact of tinnitus on relaxation and quiet activities."
9,"How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive","Sense of Control","Determines how much control the patient feels they have over their tinnitus.",0.799386259801287,36.928465615615,"Sense of Control - Determines how much control the patient feels they have over their tinnitus."
9,"How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive","Sleep","Assesses the extent to which tinnitus interferes with sleep.",0.796971805334818,37.1581036744528,"Sleep - Assesses the extent to which tinnitus interferes with sleep."
10,"How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep","Auditory","Evaluates problems hearing clearly due to tinnitus.",0.722461695401615,43.7419016403178,"Auditory - Evaluates problems hearing clearly due to tinnitus."
10,"How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep","Cognitive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.787796161714193,38.0199662786978,"Cognitive - Captures difficulties in concentration and cognitive tasks due to tinnitus."
10,"How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep","Emotional","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.713142482175829,44.5088250616278,"Emotional - Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
10,"How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep","Intrusive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.802065642943274,36.6721880607842,"Intrusive - Measures how much the tinnitus intrudes on consciousness and daily life."
10,"How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep","Quality of Life","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.751241753078492,41.3019428422885,"Quality of Life - Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
10,"How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep","Relaxation","Examines the impact of tinnitus on relaxation and quiet activities.",0.754461738040099,41.0216401673029,"Relaxation - Examines the impact of tinnitus on relaxation and quiet activities."
10,"How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep","Sense of Control","Determines how much control the patient feels they have over their tinnitus.",0.766893895290016,39.9242231432204,"Sense of Control - Determines how much control the patient feels they have over their tinnitus."
10,"How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep","Sleep","Assesses the extent to which tinnitus interferes with sleep.",0.787550730360983,38.0427910503321,"Sleep - Assesses the extent to which tinnitus interferes with sleep."
11,"How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep","Auditory","Evaluates problems hearing clearly due to tinnitus.",0.738350636559018,42.4088959957356,"Auditory - Evaluates problems hearing clearly due to tinnitus."
11,"How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep","Cognitive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.783257131892438,38.4402296204856,"Cognitive - Captures difficulties in concentration and cognitive tasks due to tinnitus."
11,"How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep","Emotional","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.703184257585918,45.3169609826376,"Emotional - Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
11,"How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep","Intrusive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.787735864270227,38.0255749337602,"Intrusive - Measures how much the tinnitus intrudes on consciousness and daily life."
11,"How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep","Quality of Life","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.745758019272492,41.7757515821447,"Quality of Life - Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
11,"How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep","Relaxation","Examines the impact of tinnitus on relaxation and quiet activities.",0.7428485786072,42.0253605570663,"Relaxation - Examines the impact of tinnitus on relaxation and quiet activities."
11,"How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep","Sense of Control","Determines how much control the patient feels they have over their tinnitus.",0.779603433430329,38.7757195308567,"Sense of Control - Determines how much control the patient feels they have over their tinnitus."
11,"How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep","Sleep","Assesses the extent to which tinnitus interferes with sleep.",0.792391425820063,37.5904410658396,"Sleep - Assesses the extent to which tinnitus interferes with sleep."
12,"How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep","Auditory","Evaluates problems hearing clearly due to tinnitus.",0.672752377794303,47.7201482803853,"Auditory - Evaluates problems hearing clearly due to tinnitus."
12,"How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep","Cognitive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.72441893938623,43.5794681166124,"Cognitive - Captures difficulties in concentration and cognitive tasks due to tinnitus."
12,"How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep","Emotional","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.657656738700443,48.878593725826,"Emotional - Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
12,"How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep","Intrusive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.775605953465351,39.1399972537517,"Intrusive - Measures how much the tinnitus intrudes on consciousness and daily life."
12,"How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep","Quality of Life","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.716645692340818,44.2217675341405,"Quality of Life - Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
12,"How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep","Relaxation","Examines the impact of tinnitus on relaxation and quiet activities.",0.712797811496421,44.5369886870165,"Relaxation - Examines the impact of tinnitus on relaxation and quiet activities."
12,"How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep","Sense of Control","Determines how much control the patient feels they have over their tinnitus.",0.754106143215455,41.0526722822716,"Sense of Control - Determines how much control the patient feels they have over their tinnitus."
12,"How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep","Sleep","Assesses the extent to which tinnitus interferes with sleep.",0.756305269882986,40.8604475625489,"Sleep - Assesses the extent to which tinnitus interferes with sleep."
13,"How much has your tinnitus interfered with your ability to hear clearly?","Auditory","Auditory","Evaluates problems hearing clearly due to tinnitus.",0.75738355963777,40.7659219320957,"Auditory - Evaluates problems hearing clearly due to tinnitus."
13,"How much has your tinnitus interfered with your ability to hear clearly?","Auditory","Cognitive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.77942033475291,38.7924676024558,"Cognitive - Captures difficulties in concentration and cognitive tasks due to tinnitus."
13,"How much has your tinnitus interfered with your ability to hear clearly?","Auditory","Emotional","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.668305758749008,48.0635632551623,"Emotional - Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
13,"How much has your tinnitus interfered with your ability to hear clearly?","Auditory","Intrusive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.825745701381009,34.335833023571,"Intrusive - Measures how much the tinnitus intrudes on consciousness and daily life."
13,"How much has your tinnitus interfered with your ability to hear clearly?","Auditory","Quality of Life","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.751762143640174,41.2567483728558,"Quality of Life - Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
13,"How much has your tinnitus interfered with your ability to hear clearly?","Auditory","Relaxation","Examines the impact of tinnitus on relaxation and quiet activities.",0.749484039986328,41.454296408956,"Relaxation - Examines the impact of tinnitus on relaxation and quiet activities."
13,"How much has your tinnitus interfered with your ability to hear clearly?","Auditory","Sense of Control","Determines how much control the patient feels they have over their tinnitus.",0.774476960771231,39.2423639263513,"Sense of Control - Determines how much control the patient feels they have over their tinnitus."
13,"How much has your tinnitus interfered with your ability to hear clearly?","Auditory","Sleep","Assesses the extent to which tinnitus interferes with sleep.",0.780813982613721,38.6648365853449,"Sleep - Assesses the extent to which tinnitus interferes with sleep."
14,"How much has your tinnitus interfered with your ability to understand people who are talking?","Auditory","Auditory","Evaluates problems hearing clearly due to tinnitus.",0.740642573302393,42.21381824381,"Auditory - Evaluates problems hearing clearly due to tinnitus."
14,"How much has your tinnitus interfered with your ability to understand people who are talking?","Auditory","Cognitive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.79931968909902,36.9348135324179,"Cognitive - Captures difficulties in concentration and cognitive tasks due to tinnitus."
14,"How much has your tinnitus interfered with your ability to understand people who are talking?","Auditory","Emotional","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.698945871158645,45.6575078397028,"Emotional - Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
14,"How much has your tinnitus interfered with your ability to understand people who are talking?","Auditory","Intrusive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.85301715829274,31.458635494702,"Intrusive - Measures how much the tinnitus intrudes on consciousness and daily life."
14,"How much has your tinnitus interfered with your ability to understand people who are talking?","Auditory","Quality of Life","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.773622494459782,39.3196904397703,"Quality of Life - Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
14,"How much has your tinnitus interfered with your ability to understand people who are talking?","Auditory","Relaxation","Examines the impact of tinnitus on relaxation and quiet activities.",0.767920462818265,39.8324862684853,"Relaxation - Examines the impact of tinnitus on relaxation and quiet activities."
14,"How much has your tinnitus interfered with your ability to understand people who are talking?","Auditory","Sense of Control","Determines how much control the patient feels they have over their tinnitus.",0.795854460955926,37.263963719383,"Sense of Control - Determines how much control the patient feels they have over their tinnitus."
14,"How much has your tinnitus interfered with your ability to understand people who are talking?","Auditory","Sleep","Assesses the extent to which tinnitus interferes with sleep.",0.786249496950447,38.1636104195092,"Sleep - Assesses the extent to which tinnitus interferes with sleep."
15,"How much has your tinnitus interfered with your ability to follow conversations in a group or at meetings?","Auditory","Auditory","Evaluates problems hearing clearly due to tinnitus.",0.745493102141765,41.7985298349005,"Auditory - Evaluates problems hearing clearly due to tinnitus."
15,"How much has your tinnitus interfered with your ability to follow conversations in a group or at meetings?","Auditory","Cognitive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.817392665137306,35.1753651561563,"Cognitive - Captures difficulties in concentration and cognitive tasks due to tinnitus."
15,"How much has your tinnitus interfered with your ability to follow conversations in a group or at meetings?","Auditory","Emotional","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.736796129272106,42.5407946349851,"Emotional - Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
15,"How much has your tinnitus interfered with your ability to follow conversations in a group or at meetings?","Auditory","Intrusive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.860230651449312,30.6575097076879,"Intrusive - Measures how much the tinnitus intrudes on consciousness and daily life."
15,"How much has your tinnitus interfered with your ability to follow conversations in a group or at meetings?","Auditory","Quality of Life","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.805833446685573,36.3091773044555,"Quality of Life - Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
15,"How much has your tinnitus interfered with your ability to follow conversations in a group or at meetings?","Auditory","Relaxation","Examines the impact of tinnitus on relaxation and quiet activities.",0.802469856326407,36.6333922382574,"Relaxation - Examines the impact of tinnitus on relaxation and quiet activities."
15,"How much has your tinnitus interfered with your ability to follow conversations in a group or at meetings?","Auditory","Sense of Control","Determines how much control the patient feels they have over their tinnitus.",0.795074726372746,37.3376856911467,"Sense of Control - Determines how much control the patient feels they have over their tinnitus."
