"QuestionID","Item","IntendedDomain","Predicted_Domain","Confidence","Intended_Domain_Definition","Predicted_Domain_Definition"
2,"How strong or loud was your tinnitus?","Intrusive","Assesses the extent to which tinnitus interferes with sleep.",0.0702229663729668,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
2,"How strong or loud was your tinnitus?","Intrusive","Determines how much control the patient feels they have over their tinnitus.",0.0658554211258888,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
2,"How strong or loud was your tinnitus?","Intrusive","Examines the impact of tinnitus on relaxation and quiet activities.",0.0591517314314842,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
2,"How strong or loud was your tinnitus?","Intrusive","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.0295749492943287,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
2,"How strong or loud was your tinnitus?","Intrusive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.0225974470376968,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
2,"How strong or loud was your tinnitus?","Intrusive","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.0196084883064032,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Assesses the extent to which tinnitus interferes with sleep.",0.426869332790375,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.265374094247818,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Evaluates problems hearing clearly due to tinnitus.",0.119415462017059,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Auditory: Evaluates problems hearing clearly due to tinnitus."
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.100201331079006,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Examines the impact of tinnitus on relaxation and quiet activities.",0.0334539748728275,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Determines how much control the patient feels they have over their tinnitus.",0.0279645789414644,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.0134212793782353,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.0132999820634723,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Determines how much control the patient feels they have over their tinnitus.",0.63197135925293,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Evaluates problems hearing clearly due to tinnitus.",0.105425618588924,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Auditory: Evaluates problems hearing clearly due to tinnitus."
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Measures how much the tinnitus intrudes on consciousness and daily life.",0.0856937542557716,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.0795308202505112,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Examines the impact of tinnitus on relaxation and quiet activities.",0.0376415699720383,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.0252749193459749,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.0180366337299347,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Assesses the extent to which tinnitus interferes with sleep.",0.0164253450930119,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Determines how much control the patient feels they have over their tinnitus.",0.54178923368454,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Evaluates problems hearing clearly due to tinnitus.",0.158370554447174,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Auditory: Evaluates problems hearing clearly due to tinnitus."
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Measures how much the tinnitus intrudes on consciousness and daily life.",0.151280924677849,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.0748070552945137,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Examines the impact of tinnitus on relaxation and quiet activities.",0.0257189720869064,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Assesses the extent to which tinnitus interferes with sleep.",0.0184028074145317,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.0172957144677639,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.012334743514657,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
6,"How easy was it for you to ignore your tinnitus?","Sense of Control","Determines how much control the patient feels they have over their tinnitus.",0.383349508047104,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
6,"How easy was it for you to ignore your tinnitus?","Sense of Control","Evaluates problems hearing clearly due to tinnitus.",0.21103473007679,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Auditory: Evaluates problems hearing clearly due to tinnitus."
6,"How easy was it for you to ignore your tinnitus?","Sense of Control","Measures how much the tinnitus intrudes on consciousness and daily life.",0.203450053930283,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
6,"How easy was it for you to ignore your tinnitus?","Sense of Control","Examines the impact of tinnitus on relaxation and quiet activities.",0.0669931843876839,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
6,"How easy was it for you to ignore your tinnitus?","Sense of Control","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.0593589879572392,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
6,"How easy was it for you to ignore your tinnitus?","Sense of Control","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.0277735590934753,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
6,"How easy was it for you to ignore your tinnitus?","Sense of Control","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.0240895766764879,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
6,"How easy was it for you to ignore your tinnitus?","Sense of Control","Assesses the extent to which tinnitus interferes with sleep.",0.0239503588527441,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
7,"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","Evaluates problems hearing clearly due to tinnitus.",0.324199974536896,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Auditory: Evaluates problems hearing clearly due to tinnitus."
7,"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","Examines the impact of tinnitus on relaxation and quiet activities.",0.232191383838654,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
7,"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.196393117308617,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
7,"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.133452698588371,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
7,"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.0539331771433353,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
7,"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","Determines how much control the patient feels they have over their tinnitus.",0.0430351458489895,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
7,"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","Assesses the extent to which tinnitus interferes with sleep.",0.00995293632149696,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
7,"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.00684156734496355,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
8,"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.344747722148895,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
8,"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","Evaluates problems hearing clearly due to tinnitus.",0.329831302165985,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Auditory: Evaluates problems hearing clearly due to tinnitus."
8,"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.17414428293705,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
8,"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.0630276650190353,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
8,"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","Examines the impact of tinnitus on relaxation and quiet activities.",0.0355549193918705,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
8,"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","Determines how much control the patient feels they have over their tinnitus.",0.0328896902501583,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
8,"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","Assesses the extent to which tinnitus interferes with sleep.",0.0109071312472224,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
8,"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.00889728311449289,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
9,"How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.30081108212471,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
9,"How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive","Evaluates problems hearing clearly due to tinnitus.",0.241611063480377,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Auditory: Evaluates problems hearing clearly due to tinnitus."
9,"How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.183763086795807,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
9,"How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.154053702950478,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
9,"How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive","Examines the impact of tinnitus on relaxation and quiet activities.",0.0607796013355255,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
9,"How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive","Determines how much control the patient feels they have over their tinnitus.",0.032173115760088,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
9,"How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive","Assesses the extent to which tinnitus interferes with sleep.",0.0149607006460428,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
9,"How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.0118476655334234,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
10,"How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep","Assesses the extent to which tinnitus interferes with sleep.",0.516590774059296,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
10,"How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep","Examines the impact of tinnitus on relaxation and quiet activities.",0.164627313613892,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
10,"How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep","Measures how much the tinnitus intrudes on consciousness and daily life.",0.137414187192917,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
10,"How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep","Evaluates problems hearing clearly due to tinnitus.",0.0976557955145836,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Auditory: Evaluates problems hearing clearly due to tinnitus."
10,"How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.0416823215782642,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
10,"How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.0252895075827837,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
10,"How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.00923802331089973,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
10,"How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep","Determines how much control the patient feels they have over their tinnitus.",0.00750202964991331,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
11,"How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep","Assesses the extent to which tinnitus interferes with sleep.",0.612933218479156,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
11,"How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep","Measures how much the tinnitus intrudes on consciousness and daily life.",0.16826443374157,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
11,"How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep","Examines the impact of tinnitus on relaxation and quiet activities.",0.122108936309814,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
11,"How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep","Evaluates problems hearing clearly due to tinnitus.",0.0689510628581047,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Auditory: Evaluates problems hearing clearly due to tinnitus."
11,"How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.00997618120163679,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
11,"How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep","Determines how much control the patient feels they have over their tinnitus.",0.00783294998109341,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
11,"How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.00579704949632287,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
11,"How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.00413615256547928,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
12,"How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep","Assesses the extent to which tinnitus interferes with sleep.",0.453524827957153,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
12,"How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep","Examines the impact of tinnitus on relaxation and quiet activities.",0.306891918182373,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
12,"How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep","Measures how much the tinnitus intrudes on consciousness and daily life.",0.151515483856201,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
12,"How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep","Evaluates problems hearing clearly due to tinnitus.",0.0569330751895905,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Auditory: Evaluates problems hearing clearly due to tinnitus."
12,"How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.011899683624506,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
12,"How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep","Determines how much control the patient feels they have over their tinnitus.",0.0111627466976643,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
12,"How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.00411215284839272,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
12,"How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.00396009022369981,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
13,"How much has your tinnitus interfered with your ability to hear clearly?","Auditory","Evaluates problems hearing clearly due to tinnitus.",0.770316243171692,"Auditory: Evaluates problems hearing clearly due to tinnitus.","Auditory: Evaluates problems hearing clearly due to tinnitus."
13,"How much has your tinnitus interfered with your ability to hear clearly?","Auditory","Measures how much the tinnitus intrudes on consciousness and daily life.",0.139229625463486,"Auditory: Evaluates problems hearing clearly due to tinnitus.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
13,"How much has your tinnitus interfered with your ability to hear clearly?","Auditory","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.0265039224177599,"Auditory: Evaluates problems hearing clearly due to tinnitus.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
13,"How much has your tinnitus interfered with your ability to hear clearly?","Auditory","Determines how much control the patient feels they have over their tinnitus.",0.0215347204357386,"Auditory: Evaluates problems hearing clearly due to tinnitus.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
13,"How much has your tinnitus interfered with your ability to hear clearly?","Auditory","Examines the impact of tinnitus on relaxation and quiet activities.",0.0178367607295513,"Auditory: Evaluates problems hearing clearly due to tinnitus.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
13,"How much has your tinnitus interfered with your ability to hear clearly?","Auditory","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.0117943547666073,"Auditory: Evaluates problems hearing clearly due to tinnitus.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
13,"How much has your tinnitus interfered with your ability to hear clearly?","Auditory","Assesses the extent to which tinnitus interferes with sleep.",0.00731938146054745,"Auditory: Evaluates problems hearing clearly due to tinnitus.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
13,"How much has your tinnitus interfered with your ability to hear clearly?","Auditory","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.00546501204371452,"Auditory: Evaluates problems hearing clearly due to tinnitus.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
