"Question1","Domain1","Question2","Domain2","Similarity","SameDomain","Theta","QuestionID1","QuestionID2"
"How strong or loud was your tinnitus?","Intrusive","(5) How easy was it for you to cope with your tinnitus?","Sense of Control",0.831901695893878,"Cross-Domain",33.7054133901168,2,5
"How strong or loud was your tinnitus?","Intrusive","(6) How easy was it for you to ignore your tinnitus?","Sense of Control",0.840629307206802,"Cross-Domain",32.7933673135347,2,6
"How strong or loud was your tinnitus?","Intrusive","(7) How much did your tinnitus interfere with your ability to concentrate?","Cognitive",0.874173397310354,"Cross-Domain",29.0527020767925,2,7
"How strong or loud was your tinnitus?","Intrusive","(8) How much did your tinnitus interfere with your ability to think clearly?","Cognitive",0.862415363645776,"Cross-Domain",30.4111288257898,2,8
"How strong or loud was your tinnitus?","Intrusive","(9) How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive",0.858059016742915,"Cross-Domain",30.9006570270794,2,9
"How strong or loud was your tinnitus?","Intrusive","(10) How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep",0.833797011612408,"Cross-Domain",33.5092181644456,2,10
"How strong or loud was your tinnitus?","Intrusive","(11) How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep",0.795917745636657,"Cross-Domain",37.2579748402921,2,11
"How strong or loud was your tinnitus?","Intrusive","(12) How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep",0.804560070822956,"Cross-Domain",36.4322096854653,2,12
"How strong or loud was your tinnitus?","Intrusive","(13) How much has your tinnitus interfered with your ability to hear clearly?","Auditory",0.862765264378145,"Cross-Domain",30.3715010018891,2,13
"How strong or loud was your tinnitus?","Intrusive","(14) How much has your tinnitus interfered with your ability to understand people who are talking?","Auditory",0.856888740204975,"Cross-Domain",31.0309747291053,2,14
"How strong or loud was your tinnitus?","Intrusive","(15) How much has your tinnitus interfered with your ability to follow conversations in a group or at meetings?","Auditory",0.844418348796821,"Cross-Domain",32.3903297814628,2,15
"How strong or loud was your tinnitus?","Intrusive","(16) How much has your tinnitus interfered with your quiet resting activities?","Relaxation",0.836240460191136,"Cross-Domain",33.2547748207398,2,16
"How strong or loud was your tinnitus?","Intrusive","(17) How much has your tinnitus interfered with your ability to relax?","Relaxation",0.841315751856184,"Cross-Domain",32.7206783180508,2,17
"How strong or loud was your tinnitus?","Intrusive","(18) How much has your tinnitus interfered with your ability to enjoy peace and quiet?","Relaxation",0.836044070741765,"Cross-Domain",33.2752890009601,2,18
"How strong or loud was your tinnitus?","Intrusive","(19) How much has your tinnitus interfered with your enjoyment of social activities?","Quality of Life",0.826746557037011,"Cross-Domain",34.2340330635068,2,19
"How strong or loud was your tinnitus?","Intrusive","(20) How much has your tinnitus interfered with your enjoyment of life?","Quality of Life",0.831835206630241,"Cross-Domain",33.7122777873765,2,20
"How strong or loud was your tinnitus?","Intrusive","(21) How much has your tinnitus interfered with your relationships with family, friends, and other people?","Quality of Life",0.818236341202551,"Cross-Domain",35.0913675415922,2,21
"How strong or loud was your tinnitus?","Intrusive","(22) How often did your tinnitus cause you difficulty performing your work or other tasks, such as home maintenance, schoolwork, or caring for children or others?","Quality of Life",0.74833743387546,"Cross-Domain",41.5534342034932,2,22
"How strong or loud was your tinnitus?","Intrusive","(23) How anxious or worried has your tinnitus made you feel?","Emotional",0.866394247886312,"Cross-Domain",29.9577065387409,2,23
"How strong or loud was your tinnitus?","Intrusive","(24) How bothered or upset have you been because of your tinnitus?","Emotional",0.849043964536254,"Cross-Domain",31.892162535231,2,24
"How strong or loud was your tinnitus?","Intrusive","(25) How depressed were you because of your tinnitus?","Emotional",0.84553446713038,"Cross-Domain",32.2707550987783,2,25
"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","(4) Did you feel in control in regard to your tinnitus?","Sense of Control",0.886382979682678,"Cross-Domain",27.5778053387546,3,4
"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","(5) How easy was it for you to cope with your tinnitus?","Sense of Control",0.851109942371137,"Cross-Domain",31.6674011763136,3,5
"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","(6) How easy was it for you to ignore your tinnitus?","Sense of Control",0.859900973947358,"Cross-Domain",30.6945339299906,3,6
"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","(7) How much did your tinnitus interfere with your ability to concentrate?","Cognitive",0.888178663735525,"Cross-Domain",27.3547366023054,3,7
"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","(8) How much did your tinnitus interfere with your ability to think clearly?","Cognitive",0.873801339546964,"Cross-Domain",29.0965695628519,3,8
"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","(9) How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive",0.867035127832259,"Cross-Domain",29.8840909997968,3,9
"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","(10) How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep",0.87177008714462,"Cross-Domain",29.3350088729171,3,10
"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","(11) How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep",0.872000025572973,"Cross-Domain",29.308106242255,3,11
"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","(12) How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep",0.871916211314942,"Cross-Domain",29.3179150552558,3,12
"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","(13) How much has your tinnitus interfered with your ability to hear clearly?","Auditory",0.843921591391068,"Cross-Domain",32.4434232458134,3,13
"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","(14) How much has your tinnitus interfered with your ability to understand people who are talking?","Auditory",0.851162200925294,"Cross-Domain",31.6616973523381,3,14
"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","(15) How much has your tinnitus interfered with your ability to follow conversations in a group or at meetings?","Auditory",0.856945011091609,"Cross-Domain",31.0247198927231,3,15
"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","(16) How much has your tinnitus interfered with your quiet resting activities?","Relaxation",0.894805404049025,"Cross-Domain",26.5165545036923,3,16
"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","(17) How much has your tinnitus interfered with your ability to relax?","Relaxation",0.865593008128539,"Cross-Domain",30.0495118452472,3,17
"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","(18) How much has your tinnitus interfered with your ability to enjoy peace and quiet?","Relaxation",0.8698241685947,"Cross-Domain",29.5617868154481,3,18
"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","(19) How much has your tinnitus interfered with your enjoyment of social activities?","Quality of Life",0.877689284702177,"Cross-Domain",28.6351327951926,3,19
"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","(20) How much has your tinnitus interfered with your enjoyment of life?","Quality of Life",0.865663364773031,"Cross-Domain",30.0414606359259,3,20
"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","(21) How much has your tinnitus interfered with your relationships with family, friends, and other people?","Quality of Life",0.825218605644997,"Cross-Domain",34.3893391527891,3,21
"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","(22) How often did your tinnitus cause you difficulty performing your work or other tasks, such as home maintenance, schoolwork, or caring for children or others?","Quality of Life",0.787332353214681,"Cross-Domain",38.0630900535796,3,22
"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","(23) How anxious or worried has your tinnitus made you feel?","Emotional",0.870992366281311,"Cross-Domain",29.4258355743313,3,23
"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","(24) How bothered or upset have you been because of your tinnitus?","Emotional",0.888810483114604,"Cross-Domain",27.2758487518418,3,24
"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","(25) How depressed were you because of your tinnitus?","Emotional",0.901632430871188,"Cross-Domain",25.6265204182866,3,25
"Did you feel in control in regard to your tinnitus?","Sense of Control","(5) How easy was it for you to cope with your tinnitus?","Sense of Control",0.838338557809573,"Within-Domain",33.0349109401928,4,5
"Did you feel in control in regard to your tinnitus?","Sense of Control","(6) How easy was it for you to ignore your tinnitus?","Sense of Control",0.819532949338002,"Within-Domain",34.9619325150343,4,6
"Did you feel in control in regard to your tinnitus?","Sense of Control","(7) How much did your tinnitus interfere with your ability to concentrate?","Cognitive",0.879945628405387,"Cross-Domain",28.3641946925506,4,7
"Did you feel in control in regard to your tinnitus?","Sense of Control","(8) How much did your tinnitus interfere with your ability to think clearly?","Cognitive",0.878837700528775,"Cross-Domain",28.4975277730413,4,8
"Did you feel in control in regard to your tinnitus?","Sense of Control","(9) How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive",0.851900119814392,"Cross-Domain",31.5810577440442,4,9
"Did you feel in control in regard to your tinnitus?","Sense of Control","(10) How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep",0.826992378237614,"Cross-Domain",34.2089891956972,4,10
"Did you feel in control in regard to your tinnitus?","Sense of Control","(11) How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep",0.826563887580869,"Cross-Domain",34.2526327194133,4,11
"Did you feel in control in regard to your tinnitus?","Sense of Control","(12) How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep",0.824154994620271,"Cross-Domain",34.4970859727738,4,12
"Did you feel in control in regard to your tinnitus?","Sense of Control","(13) How much has your tinnitus interfered with your ability to hear clearly?","Auditory",0.842101614515647,"Cross-Domain",32.6372851274767,4,13
"Did you feel in control in regard to your tinnitus?","Sense of Control","(14) How much has your tinnitus interfered with your ability to understand people who are talking?","Auditory",0.845196705546972,"Cross-Domain",32.306982623483,4,14
"Did you feel in control in regard to your tinnitus?","Sense of Control","(15) How much has your tinnitus interfered with your ability to follow conversations in a group or at meetings?","Auditory",0.865121932777577,"Cross-Domain",30.1033687022725,4,15
"Did you feel in control in regard to your tinnitus?","Sense of Control","(16) How much has your tinnitus interfered with your quiet resting activities?","Relaxation",0.860333618017494,"Cross-Domain",30.6459378389359,4,16
"Did you feel in control in regard to your tinnitus?","Sense of Control","(17) How much has your tinnitus interfered with your ability to relax?","Relaxation",0.861952527965313,"Cross-Domain",30.4634754181854,4,17
"Did you feel in control in regard to your tinnitus?","Sense of Control","(18) How much has your tinnitus interfered with your ability to enjoy peace and quiet?","Relaxation",0.86208328011525,"Cross-Domain",30.448695630765,4,18
"Did you feel in control in regard to your tinnitus?","Sense of Control","(19) How much has your tinnitus interfered with your enjoyment of social activities?","Quality of Life",0.859550239656436,"Cross-Domain",30.7338787268279,4,19
"Did you feel in control in regard to your tinnitus?","Sense of Control","(20) How much has your tinnitus interfered with your enjoyment of life?","Quality of Life",0.837810536630483,"Cross-Domain",33.0903652100228,4,20
"Did you feel in control in regard to your tinnitus?","Sense of Control","(21) How much has your tinnitus interfered with your relationships with family, friends, and other people?","Quality of Life",0.832242319131804,"Cross-Domain",33.6702278565977,4,21
"Did you feel in control in regard to your tinnitus?","Sense of Control","(22) How often did your tinnitus cause you difficulty performing your work or other tasks, such as home maintenance, schoolwork, or caring for children or others?","Quality of Life",0.775745912154786,"Cross-Domain",39.1272914332688,4,22
"Did you feel in control in regard to your tinnitus?","Sense of Control","(23) How anxious or worried has your tinnitus made you feel?","Emotional",0.862866314968513,"Cross-Domain",30.3600478643662,4,23
"Did you feel in control in regard to your tinnitus?","Sense of Control","(24) How bothered or upset have you been because of your tinnitus?","Emotional",0.871026905016384,"Cross-Domain",29.4218073614425,4,24
"Did you feel in control in regard to your tinnitus?","Sense of Control","(25) How depressed were you because of your tinnitus?","Emotional",0.865096448421796,"Cross-Domain",30.1062797745002,4,25
"How easy was it for you to cope with your tinnitus?","Sense of Control","(6) How easy was it for you to ignore your tinnitus?","Sense of Control",0.955530015721062,"Within-Domain",17.151172903535,5,6
"How easy was it for you to cope with your tinnitus?","Sense of Control","(7) How much did your tinnitus interfere with your ability to concentrate?","Cognitive",0.863671731825413,"Cross-Domain",30.268621266793,5,7
"How easy was it for you to cope with your tinnitus?","Sense of Control","(8) How much did your tinnitus interfere with your ability to think clearly?","Cognitive",0.866872113233595,"Cross-Domain",29.902831486086,5,8
"How easy was it for you to cope with your tinnitus?","Sense of Control","(9) How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive",0.852220189494169,"Cross-Domain",31.5460231488416,5,9
"How easy was it for you to cope with your tinnitus?","Sense of Control","(10) How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep",0.867331973810777,"Cross-Domain",29.8499375617726,5,10
"How easy was it for you to cope with your tinnitus?","Sense of Control","(11) How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep",0.854867010656708,"Cross-Domain",31.2549542000297,5,11
"How easy was it for you to cope with your tinnitus?","Sense of Control","(12) How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep",0.842639112712253,"Cross-Domain",32.5801382655154,5,12
"How easy was it for you to cope with your tinnitus?","Sense of Control","(13) How much has your tinnitus interfered with your ability to hear clearly?","Auditory",0.81707988982811,"Cross-Domain",35.2064611495518,5,13
"How easy was it for you to cope with your tinnitus?","Sense of Control","(14) How much has your tinnitus interfered with your ability to understand people who are talking?","Auditory",0.831431901777091,"Cross-Domain",33.7538888768526,5,14
"How easy was it for you to cope with your tinnitus?","Sense of Control","(15) How much has your tinnitus interfered with your ability to follow conversations in a group or at meetings?","Auditory",0.818737020943257,"Cross-Domain",35.041436176761,5,15
"How easy was it for you to cope with your tinnitus?","Sense of Control","(16) How much has your tinnitus interfered with your quiet resting activities?","Relaxation",0.815379150156533,"Cross-Domain",35.3751313381692,5,16
"How easy was it for you to cope with your tinnitus?","Sense of Control","(17) How much has your tinnitus interfered with your ability to relax?","Relaxation",0.825659063960827,"Cross-Domain",34.344632714749,5,17
"How easy was it for you to cope with your tinnitus?","Sense of Control","(18) How much has your tinnitus interfered with your ability to enjoy peace and quiet?","Relaxation",0.836882375296406,"Cross-Domain",33.1876442398795,5,18
"How easy was it for you to cope with your tinnitus?","Sense of Control","(19) How much has your tinnitus interfered with your enjoyment of social activities?","Quality of Life",0.810796269496515,"Cross-Domain",35.8261977921243,5,19
"How easy was it for you to cope with your tinnitus?","Sense of Control","(20) How much has your tinnitus interfered with your enjoyment of life?","Quality of Life",0.834993580094404,"Cross-Domain",33.3848302848168,5,20
"How easy was it for you to cope with your tinnitus?","Sense of Control","(21) How much has your tinnitus interfered with your relationships with family, friends, and other people?","Quality of Life",0.810804070139102,"Cross-Domain",35.8254342071431,5,21
"How easy was it for you to cope with your tinnitus?","Sense of Control","(22) How often did your tinnitus cause you difficulty performing your work or other tasks, such as home maintenance, schoolwork, or caring for children or others?","Quality of Life",0.801203982685718,"Cross-Domain",36.7547714732227,5,22
"How easy was it for you to cope with your tinnitus?","Sense of Control","(23) How anxious or worried has your tinnitus made you feel?","Emotional",0.826058657030224,"Cross-Domain",34.3040298801047,5,23
"How easy was it for you to cope with your tinnitus?","Sense of Control","(24) How bothered or upset have you been because of your tinnitus?","Emotional",0.826749253211573,"Cross-Domain",34.2337584688496,5,24
"How easy was it for you to cope with your tinnitus?","Sense of Control","(25) How depressed were you because of your tinnitus?","Emotional",0.87141621073499,"Cross-Domain",29.37636830077,5,25
"How easy was it for you to ignore your tinnitus?","Sense of Control","(7) How much did your tinnitus interfere with your ability to concentrate?","Cognitive",0.865516092260334,"Cross-Domain",30.0583114173194,6,7
"How easy was it for you to ignore your tinnitus?","Sense of Control","(8) How much did your tinnitus interfere with your ability to think clearly?","Cognitive",0.853560333435181,"Cross-Domain",31.3989512863659,6,8
"How easy was it for you to ignore your tinnitus?","Sense of Control","(9) How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive",0.865865297501444,"Cross-Domain",30.0183417439116,6,9
"How easy was it for you to ignore your tinnitus?","Sense of Control","(10) How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep",0.872264124886435,"Cross-Domain",29.2771790204035,6,10
"How easy was it for you to ignore your tinnitus?","Sense of Control","(11) How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep",0.844037685636845,"Cross-Domain",32.4310220194901,6,11
"How easy was it for you to ignore your tinnitus?","Sense of Control","(12) How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep",0.841211366450334,"Cross-Domain",32.7317411451242,6,12
"How easy was it for you to ignore your tinnitus?","Sense of Control","(13) How much has your tinnitus interfered with your ability to hear clearly?","Auditory",0.808076672863733,"Cross-Domain",36.091559445784,6,13
"How easy was it for you to ignore your tinnitus?","Sense of Control","(14) How much has your tinnitus interfered with your ability to understand people who are talking?","Auditory",0.82803600322555,"Cross-Domain",34.1024865228614,6,14
"How easy was it for you to ignore your tinnitus?","Sense of Control","(15) How much has your tinnitus interfered with your ability to follow conversations in a group or at meetings?","Auditory",0.81799319800392,"Cross-Domain",35.1155931903548,6,15
"How easy was it for you to ignore your tinnitus?","Sense of Control","(16) How much has your tinnitus interfered with your quiet resting activities?","Relaxation",0.810306665241272,"Cross-Domain",35.8740957327321,6,16
"How easy was it for you to ignore your tinnitus?","Sense of Control","(17) How much has your tinnitus interfered with your ability to relax?","Relaxation",0.824883084526118,"Cross-Domain",34.4233603139618,6,17
"How easy was it for you to ignore your tinnitus?","Sense of Control","(18) How much has your tinnitus interfered with your ability to enjoy peace and quiet?","Relaxation",0.836153655606274,"Cross-Domain",33.2638435159906,6,18
"How easy was it for you to ignore your tinnitus?","Sense of Control","(19) How much has your tinnitus interfered with your enjoyment of social activities?","Quality of Life",0.812803196857578,"Cross-Domain",35.6292774750856,6,19
"How easy was it for you to ignore your tinnitus?","Sense of Control","(20) How much has your tinnitus interfered with your enjoyment of life?","Quality of Life",0.835724097013954,"Cross-Domain",33.3086884285103,6,20
"How easy was it for you to ignore your tinnitus?","Sense of Control","(21) How much has your tinnitus interfered with your relationships with family, friends, and other people?","Quality of Life",0.794668848774035,"Cross-Domain",37.3760112371888,6,21
"How easy was it for you to ignore your tinnitus?","Sense of Control","(22) How often did your tinnitus cause you difficulty performing your work or other tasks, such as home maintenance, schoolwork, or caring for children or others?","Quality of Life",0.772227976967137,"Cross-Domain",39.4456170254989,6,22
"How easy was it for you to ignore your tinnitus?","Sense of Control","(23) How anxious or worried has your tinnitus made you feel?","Emotional",0.827456859170869,"Cross-Domain",34.1616246127906,6,23
"How easy was it for you to ignore your tinnitus?","Sense of Control","(24) How bothered or upset have you been because of your tinnitus?","Emotional",0.817766007365141,"Cross-Domain",35.1382162443498,6,24
"How easy was it for you to ignore your tinnitus?","Sense of Control","(25) How depressed were you because of your tinnitus?","Emotional",0.855327669798684,"Cross-Domain",31.2040467987668,6,25
"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","(8) How much did your tinnitus interfere with your ability to think clearly?","Cognitive",0.977445840379534,"Within-Domain",12.1918781541552,7,8
"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","(9) How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive",0.94850918332616,"Within-Domain",18.4664698176425,7,9
"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","(10) How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep",0.896332538297467,"Cross-Domain",26.3198935775399,7,10
"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","(11) How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep",0.887904330542869,"Cross-Domain",27.3889240563494,7,11
"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","(12) How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep",0.863823273511789,"Cross-Domain",30.2513911194431,7,12
"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","(13) How much has your tinnitus interfered with your ability to hear clearly?","Auditory",0.93739812806354,"Cross-Domain",20.3809014129852,7,13
"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","(14) How much has your tinnitus interfered with your ability to understand people who are talking?","Auditory",0.927639283830781,"Cross-Domain",21.9302373205953,7,14
"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","(15) How much has your tinnitus interfered with your ability to follow conversations in a group or at meetings?","Auditory",0.920297359092718,"Cross-Domain",23.0304074168912,7,15
"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","(16) How much has your tinnitus interfered with your quiet resting activities?","Relaxation",0.903809813106216,"Cross-Domain",25.3365410848503,7,16
"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","(17) How much has your tinnitus interfered with your ability to relax?","Relaxation",0.949391421321213,"Cross-Domain",18.3062134090868,7,17
"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","(18) How much has your tinnitus interfered with your ability to enjoy peace and quiet?","Relaxation",0.912922911104357,"Cross-Domain",24.0875460873416,7,18
"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","(19) How much has your tinnitus interfered with your enjoyment of social activities?","Quality of Life",0.905807610797948,"Cross-Domain",25.0677247551029,7,19
"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","(20) How much has your tinnitus interfered with your enjoyment of life?","Quality of Life",0.897391975888496,"Cross-Domain",26.1826561128927,7,20
"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","(21) How much has your tinnitus interfered with your relationships with family, friends, and other people?","Quality of Life",0.875193724606312,"Cross-Domain",28.9320888343286,7,21
"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","(22) How often did your tinnitus cause you difficulty performing your work or other tasks, such as home maintenance, schoolwork, or caring for children or others?","Quality of Life",0.815458335405003,"Cross-Domain",35.3672937090016,7,22
"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","(23) How anxious or worried has your tinnitus made you feel?","Emotional",0.867866887264761,"Cross-Domain",29.7883036726253,7,23
"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","(24) How bothered or upset have you been because of your tinnitus?","Emotional",0.84702424927211,"Cross-Domain",32.1105295352857,7,24
"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","(25) How depressed were you because of your tinnitus?","Emotional",0.865819363672724,"Cross-Domain",30.0236020383892,7,25
"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","(9) How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive",0.932412224581012,"Within-Domain",21.1859857873871,8,9
"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","(10) How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep",0.88487703076049,"Cross-Domain",27.7636075379953,8,10
"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","(11) How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep",0.88529642788746,"Cross-Domain",27.7119780882283,8,11
