"QuestionID","Item","IntendedDomain","Predicted_Domain","Confidence","Intended_Domain_Definition","Predicted_Domain_Definition"
2,"How strong or loud was your tinnitus?","Intrusive","Assesses the extent to which tinnitus interferes with sleep.",0.279540508985519,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
2,"How strong or loud was your tinnitus?","Intrusive","Examines the impact of tinnitus on relaxation and quiet activities.",0.175912097096443,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
2,"How strong or loud was your tinnitus?","Intrusive","Determines how much control the patient feels they have over their tinnitus.",0.131025716662407,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
2,"How strong or loud was your tinnitus?","Intrusive","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.0445585213601589,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
2,"How strong or loud was your tinnitus?","Intrusive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.0282825455069542,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
2,"How strong or loud was your tinnitus?","Intrusive","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.00242822081781924,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.970023691654205,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Assesses the extent to which tinnitus interferes with sleep.",0.965421199798584,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.86962890625,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Evaluates problems hearing clearly due to tinnitus.",0.793755292892456,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Auditory: Evaluates problems hearing clearly due to tinnitus."
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Determines how much control the patient feels they have over their tinnitus.",0.413009166717529,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Examines the impact of tinnitus on relaxation and quiet activities.",0.372337132692337,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.210855469107628,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.0771249160170555,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Determines how much control the patient feels they have over their tinnitus.",0.971997618675232,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Measures how much the tinnitus intrudes on consciousness and daily life.",0.655007541179657,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Evaluates problems hearing clearly due to tinnitus.",0.610811293125153,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Auditory: Evaluates problems hearing clearly due to tinnitus."
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.506443440914154,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Examines the impact of tinnitus on relaxation and quiet activities.",0.284067511558533,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.208206996321678,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.0661323815584183,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Assesses the extent to which tinnitus interferes with sleep.",0.0455327183008194,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Determines how much control the patient feels they have over their tinnitus.",0.969546794891357,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Evaluates problems hearing clearly due to tinnitus.",0.737513601779938,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Auditory: Evaluates problems hearing clearly due to tinnitus."
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Measures how much the tinnitus intrudes on consciousness and daily life.",0.730924189090729,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.571798145771027,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Examines the impact of tinnitus on relaxation and quiet activities.",0.16527059674263,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.147275418043137,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Assesses the extent to which tinnitus interferes with sleep.",0.0641800910234451,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.0426477864384651,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
6,"How easy was it for you to ignore your tinnitus?","Sense of Control","Determines how much control the patient feels they have over their tinnitus.",0.950291752815247,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
6,"How easy was it for you to ignore your tinnitus?","Sense of Control","Evaluates problems hearing clearly due to tinnitus.",0.762738287448883,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Auditory: Evaluates problems hearing clearly due to tinnitus."
6,"How easy was it for you to ignore your tinnitus?","Sense of Control","Measures how much the tinnitus intrudes on consciousness and daily life.",0.753731489181519,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
6,"How easy was it for you to ignore your tinnitus?","Sense of Control","Examines the impact of tinnitus on relaxation and quiet activities.",0.480384469032288,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
6,"How easy was it for you to ignore your tinnitus?","Sense of Control","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.439636766910553,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
6,"How easy was it for you to ignore your tinnitus?","Sense of Control","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.230156421661377,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
6,"How easy was it for you to ignore your tinnitus?","Sense of Control","Assesses the extent to which tinnitus interferes with sleep.",0.100613623857498,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
6,"How easy was it for you to ignore your tinnitus?","Sense of Control","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.0875822678208351,"Sense of Control: Determines how much control the patient feels they have over their tinnitus.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
7,"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.954595863819122,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
7,"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","Evaluates problems hearing clearly due to tinnitus.",0.925408899784088,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Auditory: Evaluates problems hearing clearly due to tinnitus."
7,"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","Examines the impact of tinnitus on relaxation and quiet activities.",0.924698531627655,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
7,"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.874820828437805,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
7,"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.317529022693634,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
7,"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","Determines how much control the patient feels they have over their tinnitus.",0.296783030033112,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
7,"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","Assesses the extent to which tinnitus interferes with sleep.",0.00212640105746686,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
7,"How much did your tinnitus interfere with your ability to concentrate?","Cognitive","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.00133580446708947,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
8,"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.963662624359131,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
8,"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.920887291431427,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
8,"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","Evaluates problems hearing clearly due to tinnitus.",0.854734480381012,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Auditory: Evaluates problems hearing clearly due to tinnitus."
8,"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.429773330688477,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
8,"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","Determines how much control the patient feels they have over their tinnitus.",0.151072785258293,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
8,"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","Examines the impact of tinnitus on relaxation and quiet activities.",0.147460326552391,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
8,"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","Assesses the extent to which tinnitus interferes with sleep.",0.00231019989587367,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
8,"How much did your tinnitus interfere with your ability to think clearly?","Cognitive","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.00200331839732826,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
9,"How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.943705976009369,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
9,"How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.916982710361481,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
9,"How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive","Evaluates problems hearing clearly due to tinnitus.",0.886509656906128,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Auditory: Evaluates problems hearing clearly due to tinnitus."
9,"How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.8726886510849,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
9,"How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive","Examines the impact of tinnitus on relaxation and quiet activities.",0.73028039932251,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
9,"How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive","Determines how much control the patient feels they have over their tinnitus.",0.190375059843063,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
9,"How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.0177618246525526,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
9,"How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive","Assesses the extent to which tinnitus interferes with sleep.",0.0124108102172613,"Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
10,"How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep","Assesses the extent to which tinnitus interferes with sleep.",0.989036202430725,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
10,"How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep","Measures how much the tinnitus intrudes on consciousness and daily life.",0.970697164535522,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
10,"How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep","Examines the impact of tinnitus on relaxation and quiet activities.",0.967402815818787,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
10,"How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep","Evaluates problems hearing clearly due to tinnitus.",0.838399291038513,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Auditory: Evaluates problems hearing clearly due to tinnitus."
10,"How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.776054739952087,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
10,"How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.553355157375336,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
10,"How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep","Determines how much control the patient feels they have over their tinnitus.",0.472173750400543,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
10,"How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.129751265048981,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
11,"How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep","Assesses the extent to which tinnitus interferes with sleep.",0.99143248796463,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
11,"How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep","Measures how much the tinnitus intrudes on consciousness and daily life.",0.973810017108917,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
11,"How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep","Examines the impact of tinnitus on relaxation and quiet activities.",0.957694232463837,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
11,"How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep","Evaluates problems hearing clearly due to tinnitus.",0.623968780040741,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Auditory: Evaluates problems hearing clearly due to tinnitus."
11,"How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep","Determines how much control the patient feels they have over their tinnitus.",0.434609025716782,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
11,"How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.109542496502399,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
11,"How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.0334160849452019,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
11,"How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.0120222568511963,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
12,"How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep","Assesses the extent to which tinnitus interferes with sleep.",0.989981174468994,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
12,"How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep","Examines the impact of tinnitus on relaxation and quiet activities.",0.989584803581238,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
12,"How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep","Measures how much the tinnitus intrudes on consciousness and daily life.",0.974124908447266,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
12,"How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep","Evaluates problems hearing clearly due to tinnitus.",0.691930592060089,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Auditory: Evaluates problems hearing clearly due to tinnitus."
12,"How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep","Determines how much control the patient feels they have over their tinnitus.",0.500811040401459,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
12,"How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.198031097650528,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
12,"How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.0220931023359299,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
12,"How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.0155641315504909,"Sleep: Assesses the extent to which tinnitus interferes with sleep.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
13,"How much has your tinnitus interfered with your ability to hear clearly?","Auditory","Evaluates problems hearing clearly due to tinnitus.",0.967074573040009,"Auditory: Evaluates problems hearing clearly due to tinnitus.","Auditory: Evaluates problems hearing clearly due to tinnitus."
13,"How much has your tinnitus interfered with your ability to hear clearly?","Auditory","Measures how much the tinnitus intrudes on consciousness and daily life.",0.914076507091522,"Auditory: Evaluates problems hearing clearly due to tinnitus.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
13,"How much has your tinnitus interfered with your ability to hear clearly?","Auditory","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.126684620976448,"Auditory: Evaluates problems hearing clearly due to tinnitus.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
13,"How much has your tinnitus interfered with your ability to hear clearly?","Auditory","Determines how much control the patient feels they have over their tinnitus.",0.0443419106304646,"Auditory: Evaluates problems hearing clearly due to tinnitus.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
13,"How much has your tinnitus interfered with your ability to hear clearly?","Auditory","Examines the impact of tinnitus on relaxation and quiet activities.",0.0326723642647266,"Auditory: Evaluates problems hearing clearly due to tinnitus.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
13,"How much has your tinnitus interfered with your ability to hear clearly?","Auditory","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.0103037301450968,"Auditory: Evaluates problems hearing clearly due to tinnitus.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
13,"How much has your tinnitus interfered with your ability to hear clearly?","Auditory","Assesses the extent to which tinnitus interferes with sleep.",0.00107137567829341,"Auditory: Evaluates problems hearing clearly due to tinnitus.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
13,"How much has your tinnitus interfered with your ability to hear clearly?","Auditory","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.000798916269559413,"Auditory: Evaluates problems hearing clearly due to tinnitus.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
